Query ID,Winner,BM25_nDCG@10,Dense_nDCG@10,Hybrid_RRF_nDCG@10,Hybrid_Rerank_nDCG@10
test_query186,Hybrid (RRF),0.42724449526787633,0.5014276442746162,0.5368103404171507,0.46785915648013904
test_query187,Hybrid (RRF),0.6311443278613471,0.5341769051617135,0.6352557412688555,0.6188656458779801
test_query188,BM25,0.9363792118010483,0.4440973278132557,0.7151857987862356,0.6489315753318465
test_query189,Hybrid (RRF),0.6332196796270029,0.7877736340270854,0.8205228949141826,0.7385567757549499
test_query190,BM25,0.7951657524814092,0.7670273914429264,0.7951657524814092,0.7218018303820491
test_query191,Hybrid (RRF),0.22009176629808017,0.42959551071396096,0.5599332595218056,0.44773452261294694
test_query192,BM25,0.6809047493604335,0.43735247915031,0.4537425745411855,0.6687607038361472
test_query193,Hybrid + Rerank,0.42838543210841196,0.6429424283490954,0.6804503724350792,0.6969383549984332
test_query194,Hybrid (RRF),0.7605591431973849,0.38363315291837646,0.7917267193679839,0.48153499054313026
test_query195,Dense,0.5473983622993502,1.0,0.6046855387118412,0.7885497208855957
test_query196,BM25,0.46158906992086357,0.3280622976814645,0.43042149375026456,0.42724449526787633
test_query197,BM25,0.7215194105726964,0.40350157154648025,0.42520843362602373,0.5599332595218056
test_query198,BM25,1.0,0.933745776545611,1.0,0.804810999209339
test_query199,BM25,1.0,0.772837825180752,0.9363792118010483,0.8454256604216017
test_query200,Dense,0.6122496142821665,1.0,0.8512360941594274,0.8899541168509599
test_query201,Hybrid (RRF),0.30240383049385083,0.2520649403266671,0.42331179510529354,0.3706355185414171
test_query202,Hybrid (RRF),0.5455206287241073,0.38589303732090635,0.6117748521784964,0.5370079586075637
test_query203,Dense,0.8701249883466593,1.0,1.0,0.8115558478722846
test_query204,Hybrid + Rerank,0.6901935063354876,0.6879509227782195,0.7264127302306637,0.8630152897016883
test_query205,Dense,0.9363792118010483,1.0,1.0,1.0
test_query206,Hybrid + Rerank,0.28762634971412726,0.5670429581667766,0.6929852696575347,0.7975167679274937
test_query207,Hybrid (RRF),0.21408371436984167,0.7885497208855957,0.8701249883466593,0.793584067764911
test_query208,BM25,0.611755947233009,0.4963932973953009,0.5404673768993046,0.47682620352203725
test_query209,BM25,1.0,1.0,1.0,0.914856882358379
test_query210,Dense,0.6212166613240646,0.9363792118010483,0.9363792118010483,0.914856882358379
test_query211,Hybrid (RRF),0.8899541168509599,0.8521705090845474,1.0,0.8318477135310893
test_query212,Hybrid (RRF),0.6601585067762746,0.6785038377365556,0.7133080652109929,0.6235744328990731
test_query213,Dense,0.6569815082938864,1.0,0.914856882358379,0.6316243658611127
test_query214,Hybrid (RRF),0.800693766409882,0.8482378089219645,0.8603818544462509,0.84860265890399
test_query215,Dense,0.800693766409882,0.914856882358379,0.793584067764911,0.37185395737611554
test_query216,BM25,1.0,0.7799082337019199,0.9216017310213247,0.9363792118010483
test_query217,Hybrid + Rerank,0.09478836436955078,0.9363792118010483,0.7534494445524138,1.0
test_query218,BM25,1.0,0.8572048559638628,1.0,0.8364586133797037
test_query219,BM25,0.5958595188912912,0.07336392209936005,0.3479118113640809,0.06625422345438903
test_query220,Hybrid + Rerank,0.40741536676357565,0.6168295842361274,0.6758704024811183,0.7791714369672127
test_query221,Dense,0.6871952210980248,0.8643145546088337,0.8482378089219645,0.78180487222265
test_query222,Dense,0.7819835854675755,1.0,1.0,0.9363792118010483
